,ID,Section,Temperature,Density,Fail,Max Stress (MPA),Force (N),Extension (mm),yield point,Force (N),Extension (mm)
97,Cap aph,TS,400,0.871,2,2.97850297850298,1035,2.04,2.48928026705804,865,1.803
98,Cap aph,RLS,400,0.871,2,0.454682324601024,135.9,2.22,,,
99,Cap aph,RLS,400,0.871,2,2.01179114496687,689.3,3.696,,,
100,Cas au,TS,200,0.789,2,42.5241755516985,5145,1.71,,,
101,Cas au,TS,200,0.789,2,44.7391304347826,5145,1.54,,,
102,Cas au,RLS,200,0.789,1,14.9407834801093,1476,1.6,,,
103,Cas au,RLS,200,0.789,1,12.6624328285296,1296,0.892,12.1787982413288,1246.5,0.696
104,Cas au,TS,300,0.789,1,8.70571428571428,1218.8,1.484,7.33928571428571,1027.5,0.664
105,Cas au,TS,300,0.789,1,24.9444444444444,2245,1.384,6.61111111111111,595,0.612
106,Cas au,RLS,300,0.789,1,2.66067415730337,236.8,1.753,0.131868131868132,15,0.156
107,Cas au,RLS,300,0.789,1,2.21211515393842,221.3,0.783,0.28314606741573,25.2,0.203
108,Cas au,TS,400,0.789,1,7.35461369322921,970,1.172,3.33611342785655,440,0.624
109,Cas au,RLS,400,0.789,1,4.78065934065934,543.8,2.036,2.0921631347461,209.3,0.643
110,Fic re,TS,200,0.355,2,13.2447368421053,5033,1.7,,,
111,Fic re,TS,200,0.355,1,10.7984607984608,1122.5,0.705,10.7984607984608,1122.5,0.705
112,Fic re,RLS,200,0.355,1,3.92697940989174,1110,0.884,3.92697940989174,1110,0.884
113,Fic re,RLS,200,0.355,2,2.05055849500294,348.8,2.836,1.91887125220459,326.4,1.676
114,Fic re,TS,300,0.355,1,2.01083333333333,241.3,0.904,2.01083333333333,241.3,0.904
115,Fic re,TS,300,0.355,1,8.90985497692815,1081.3,0.844,8.90985497692815,1081.3,0.844
116,Fic re,RLS,300,0.355,2,3.79338842975207,688.5,3.9,1.14490358126722,207.8,1.024
117,Fic re,RLS,300,0.355,2,1.06616017727129,336.8,3.9,0.178537511870845,56.4,0.404
118,Fic re,TS,400,0.355,1,0.423458333333333,101.63,1.252,0.423458333333333,101.63,1.252
119,Fic re,RLS,400,0.355,2,0.119762569832402,51.45,3.7,0.050814711359404,21.83,0.704
120,Ni 1,TS,200,0.34,2,9.50226244343891,4200,2,,,
121,Ni 1,TS,200,0.34,1,32.0642201834862,2796,1.422,32.0642201834862,2796,1.422
122,Ni 1,RLS,200,0.34,1,6.66392431098313,1944,1.094,6.66392431098313,1944,1.094
123,Ni 1,RLS,200,0.34,2,4.13770734871652,446.5,1.97,,,
124,Ni 1,TS,300,0.34,2,4.76683401480255,921,1.642,3.02779359246416,585,0.808
125,Ni 1,TS,300,0.34,1,0.864164191196327,224,1.012,0.26079240770032,67.6,0.302
126,Ni 1,RLS,300,0.34,1,0.515200742631701,88.8,1.292,0.183917382223254,31.7,0.402
127,Ni 1,RLS,300,0.34,1,0.293495324551225,43,0.772,0.252542488567333,37,0.422
128,Ni 1,TS,400,0.34,1,1.77870405456612,93.88,0.722,0.899962106858659,47.5,0.152
129,Ni 1,RLS,400,0.34,2,0.267519365880022,14.85,2,0.119798234552333,6.65,0.122
130,Ni 2,TS,200,0.669,2,15.5276225946617,5003,1.56,,,
131,Ni 2,TS,200,0.669,2,13.96875,4470,1.604,13.96875,4470,1.604
132,Ni 2,RLS,200,0.669,1,5.87535014005602,1258.5,0.672,5.87535014005602,1258.5,0.672
133,Ni 2,RLS,200,0.669,1,6.88858695652174,1267.5,0.612,6.88858695652174,1267.5,0.612
134,Ni 2,TS,300,0.669,2,13.0942614945896,3352,2,5.12520020313294,1312,0.966
135,Ni 2,TS,300,0.669,1,16.5373621886484,810,0.642,13.0942614945896,3352,2
136,Ni 2,RLS,300,0.669,1,2.09643605870021,390,1.072,0.642907058001398,119.6,0.492
137,Ni 2,RLS,300,0.669,1,2.60284810126582,263.2,1.166,2.47231012658228,250,0.652
138,Ni 2,TS,400,0.669,1,2.43845866068088,651.8,1.622,1.73138795361018,462.8,1.332
139,Ni 2,RLS,400,0.669,1,0.499072356215213,80.7,1.682,0.264069264069264,42.7,0.482
140,Ni 3,TS,200,0.607,1,34.2425759092426,4105,1.306,34.2425759092426,4105,1.306
141,Ni 3,TS,200,0.607,1,20.265780730897,3660,1.766,17.8073089700997,3216,1.432
142,Ni 3,RLS,200,0.607,1,9.74062747763053,1720,1.514,9.74062747763053,1720,1.514
143,Ni 3,RLS,200,0.607,1,8.32517006802721,1223.8,0.73,8.32517006802721,1223.8,0.73
144,Ni 3,TS,300,0.607,1,3.06026365348399,227.5,0.936,2.80871670702179,208.8,0.792
145,Ni 3,TS,300,0.607,2,8.01779485364744,1586,1.222,8.01779485364744,1586,1.222
146,Ni 3,RLS,300,0.607,2,4.61498708010336,893,2,3.48320413436692,674,1.142
147,Ni 3,RLS,300,0.607,1,3.14232209737828,419.5,1.042,3.00749063670412,401.5,0.532
148,Ni 3,TS,400,0.607,1,1.74122073578595,124.95,0.902,1.74122073578595,124.95,0.902
149,Ni 3,RLS,400,0.607,1,3.88,388,1.522,0.14,14,0.182
150,Ni 5,TS,200,0.62,1,25.4354354354354,3388,1.572,25.4354354354354,3388,1.572
151,Ni 5,TS,200,0.62,2,53.4444444444444,4810,2,,,
152,Ni 5,RLS,200,0.62,1,4.51576576576577,601.5,0.502,4.51576576576577,601.5,0.502
153,Ni 5,RLS,200,0.62,1,14.9333333333333,1344,0.942,14.9333333333333,1344,0.942
154,Ni 5,TS,300,0.62,1,14.8300053966541,1374,1.062,6.60550458715596,612,0.542
155,Ni 5,TS,300,0.62,1,9.1842840047866,921,1.122,5.06581571599521,508,0.612
156,Ni 5,RLS,300,0.62,1,2.52197802197802,183.6,0.552,2.42307692307692,176.4,0.372
157,Ni 5,RLS,300,0.62,1,3.40116959064327,290.8,0.632,2.59181286549708,221.6,0.442
158,Ni 5,TS,400,0.62,2,2.97040169133192,421.5,1.91,1.6631430584919,236,0.732
159,Ni 5,TS,400,0.62,1,5.97107438016529,867,1.292,3.38154269972452,491,0.924
160,Ni 5,RLS,400,0.62,1,0.658402203856749,71.7,0.512,0.24931129476584,27.15,0.122
161,Ni 5,RLS,400,0.62,1,0.654324894514768,62.03,0.762,0.670147679324894,63.53,0.372
162,Sal ol,TS,200,0.826,1,12.96,2430,1.262,12.3893333333333,2323,1.052
163,Sal ol,TS,200,0.826,1,13.0778129872743,2600,1.252,13.0778129872743,2600,1.252
164,Sal ol,RLS,200,0.826,1,5.39766081871345,1384.5,1.292,5.39766081871345,1384.5,1.292
165,Sal ol,RLS,200,0.826,1,6.24634003513566,960,1.092,6.24634003513566,960,1.092
166,Sal ol,TS,300,0.826,1,8.32650832650833,1220,1.022,5.46887796887797,801.3,0.582
167,Sal ol,TS,300,0.826,2,19.4024157660521,3052,2,13.6808645899555,2152,1.052
168,Sal ol,RLS,300,0.826,1,2.57787325456498,240,0.502,2.57787325456498,240,0.502
169,Sal ol,RLS,300,0.826,1,4.13752293035091,699.2,1.162,4.31268122374105,728.8,0.772
170,Sal ol,TS,400,0.826,2,2.47501864280388,663.8,2,0.760626398210291,204,0.422
171,Sal ol,RLS,400,0.826,2,2.01919658727337,284,1.96,0.565943832207607,79.6,0.642
172,Sal pe,TS,200,0.822,2,21.2585034013605,5000,1.53,,,
173,Sal pe,TS,200,0.822,1,31.3628084119887,3788,1.442,31.3628084119887,3788,1.442
174,Sal pe,RLS,200,0.822,2,8.23680823680824,3200,5.01,1.09137709137709,424,0.548
175,Sal pe,RLS,200,0.822,1,4.8030787684926,480.5,0.715,4.8030787684926,480.5,0.715
176,Sal pe,TS,300,0.822,1,9.78888888888889,881,1.164,7.71111111111111,694,0.692
177,Sal pe,TS,300,0.822,1,10.0584795321637,946,1.212,2.25412014885699,212,0.304
178,Sal pe,RLS,300,0.822,1,3.97504456327986,446,0.685,3.97504456327986,446,0.685
179,Sal pe,RLS,300,0.822,1,2.06156806156806,214.3,1.085,2.06156806156806,214.3,1.085
180,Sal pe,TS,400,0.822,1,8.37196235426324,1788,1.652,4.2608980662078,910,1.064
181,Sal pe,TS,400,0.822,1,3.25581395348837,441,0.916,2.18530823181986,296,0.524
182,Sal pe,RLS,400,0.822,2,3.64836956521739,671.3,4.89,0.301630434782609,55.5,0.33
183,Sal pe,RLS,400,0.822,1,1.63088849135361,218.8,4.655,0.825879546809779,110.8,0.545
184,Sua,TS,200,0.762,1,31.0590508392706,2572,1.072,31.0590508392706,2572,1.072
185,Sua,TS,200,0.762,1,33.7993920972644,3336,1.314,33.7993920972644,3336,1.314
186,Sua,RLS,200,0.762,1,4.84504259785159,392.4,0.602,3.83751080380294,310.8,0.472
