step	CCRONDEL	CCOVOIDE	CC.CRUZ	CCCUBICA	CCTRAPEZIFORM	BILOBADA	POLILOBADA	SADDLE	ELONGATESMOOTH	ELONGATESINUOUS	ELECHINATE	ELDENDRITICO	TRAPEZIFORMSINUOUS	TRAPEZIFORMPOLILOBATE	BULIFORME	PAPILLA	TRICOMA	BASETRICOMA	ESTOMA	CORKCELL	XYLEMCELL	CYPERACEAE	DETGRAMINEA	cf.FERN	GLOBULARSMOOTH	GLOBULARECHINATE	GLOBULARRUGOSE	BLOCKY	JIGSAW	PLACAPERFORADA	EPIDERMDICOT	DETDICOT		
1-50B8	22	0	0	0	0	7	0	0	2	1	0	1	3	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
1-100B8	52	0	0	0	0	8	0	1	7	1	1	1	3	2	2	0	8	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0
1-150B8	70	3	0	0	0	8	0	2	14	1	2	1	3	3	2	0	16	0	1	0	1	0	0	0	0	0	0	3	0	0	6	0
1-200B8	92	6	0	0	0	10	0	2	20	1	2	1	5	9	3	0	19	0	1	0	1	0	0	0	0	0	0	3	0	0	6	0
1-250B8	117	6	0	0	0	10	0	2	28	1	4	1	6	10	4	1	23	0	1	0	1	0	0	0	0	0	0	4	0	0	8	0
1-300B8	145	6	0	0	0	10	0	2	33	1	4	1	6	14	5	1	27	0	1	0	1	0	0	0	0	0	0	4	0	0	10	0
1-350B8	169	6	0	0	0	11	0	2	35	1	5	1	8	18	5	2	28	0	1	0	1	0	0	0	0	0	0	4	1	0	13	0
1-400B8	190	7	0	0	0	15	0	2	38	1	6	1	10	21	5	2	31	0	1	0	1	0	0	0	0	0	0	4	3	0	13	0		
1-50B11	6	1	0	0	0	1	0	1	5	0	0	1	0	6	1	0	0	1	1	0	0	0	2	0	0	0	2	0	0	0	13	0		
1-100B11	24	2	0	0	0	4	0	1	10	0	0	1	0	13	1	0	1	1	1	0	0	0	2	0	0	0	2	0	1	0	19	0		
1-150B11	39	6	0	0	0	5	0	2	17	0	0	1	1	15	1	1	2	1	1	0	0	0	2	0	0	0	2	0	2	0	27	0		
1-200B11	53	9	0	0	0	6	0	2	22	0	0	1	1	17	2	1	4	1	1	0	0	0	2	0	0	0	3	0	2	0	40	0		
1-250B11	66	14	0	0	0	7	0	3	31	0	2	1	2	19	2	2	7	1	1	0	0	0	2	0	0	0	3	0	2	0	46	1		
1-300B11	66	15	0	0	0	7	0	3	31	0	2	1	2	20	2	2	7	1	1	0	0	0	2	0	0	0	3	0	2	0	47	1		
1-50B5	21	1	0	0	0	2	0	0	5	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		
1-100B5	50	2	0	0	0	3	0	0	7	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0		
1-150B5	76	2	0	0	0	4	0	0	11	0	5	0	3	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0		
1-200B5	86	5	0	0	0	7	0	0	19	0	7	0	5	5	1	0	33	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0		
1-250B5	110	6	0	0	0	11	0	0	23	0	9	1	8	5	1	1	38	4	0	0	0	0	0	0	0	0	0	0	0	0	8	0		
1-300B5	137	6	0	0	0	11	0	0	27	0	12	1	10	5	1	1	43	6	0	0	0	0	0	0	1	0	0	0	1	0	9	0		
1-350B5	163	9	0	0	0	13	1	0	30	0	12	1	11	5	1	2	49	7	0	0	0	0	0	0	1	0	0	1	1	0	10	0		
1-400B5	186	11	0	0	0	17	1	1	37	0	14	1	11	5	3	2	52	8	0	0	1	0	1	0	1	0	0	2	1	0	11	0		
1-50B2	30	0	0	0	0	3	0	3	1	0	2	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0		
1-100B2	49	9	0	0	0	4	0	3	4	0	4	0	4	3	0	0	6	1	0	0	0	0	0	0	0	0	3	0	0	0	3	0		
1-150B2	64	12	0	0	0	6	0	3	9	0	6	0	4	5	0	0	9	1	0	0	0	0	1	0	0	0	3	0	0	0	10	0		
1-200B2	90	12	1	0	0	7	0	3	12	0	6	0	4	5	3	0	11	3	0	0	0	0	1	0	0	0	3	0	0	0	15	0		
1-250B2	116	15	1	0	0	8	0	3	14	2	6	0	6	6	3	0	12	4	0	0	0	0	1	0	0	0	4	1	0	0	19	0		
1-300B2	149	15	1	0	0	13	0	3	18	2	8	1	6	7	3	0	13	5	0	0	0	0	1	0	0	0	4	3	0	0	19	0		
1-350B2	174	16	1	0	0	17	1	3	24	2	10	1	7	7	3	0	16	5	0	0	0	0	1	0	0	0	4	3	0	0	22	0		
1-400B2	201	17	3	0	0	20	3	3	28	2	10	1	8	8	3	2	19	6	0	0	0	0	1	0	0	0	4	3	0	0	23	0		
1-50B4	13	4	0	0	0	0	0	0	5	0	2	1	4	1	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		
1-100B4	30	9	0	0	0	4	0	1	10	0	6	1	4	2	3	0	21	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0		
1-150B4	44	15	0	0	0	7	0	1	18	0	7	1	7	4	4	0	27	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0		
1-200B4	61	20	0	0	0	7	0	1	21	0	9	1	9	5	5	0	40	0	0	0	0	0	0	0	0	0	0	4	0	0	4	1		
1-250B4	77	26	0	0	0	8	0	2	23	0	12	1	9	9	8	2	50	0	0	0	0	0	0	0	0	0	0	5	0	0	4	1		
1-300B4	100	28	0	0	0	11	0	2	25	0	13	1	11	10	9	2	63	0	0	0	0	0	0	0	0	0	0	6	0	0	4	1		
1-350B4	114	29	0	0	0	12	0	2	29	0	15	1	15	16	12	2	77	0	0	0	0	0	0	0	0	0	0	9	0	1	4	1		
1-400B4	132	31	0	0	0	14	0	3	32	1	18	1	17	19	12	2	86	0	0	0	0	0	0	0	0	0	0	9	0	1	5	1		
1-50M1	27	0	0	0	0	0	0	0	6	1	0	0	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0		
1-100M1	61	0	0	0	0	0	0	0	13	2	0	0	2	2	0	0	2	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0		
1-150M1	99	0	0	0	0	0	1	0	19	2	1	0	3	2	0	0	2	1	0	0	0	0	1	0	0	0	0	3	1	0	0	0		
1-200M1	138	0	0	0	0	2	1	0	23	2	1	0	4	4	0	0	3	1	0	0	0	0	1	0	0	0	0	4	3	0	0	0		
1-250M1	167	0	0	0	0	2	2	0	29	2	3	0	6	4	0	0	4	1	0	0	0	0	1	0	0	0	0	4	3	0	0	0		
1-300M1	198	0	0	0	0	2	2	0	38	2	4	0	8	4	1	0	7	1	0	0	0	0	1	0	0	0	0	4	3	0	0	0		
1-350M1	241	0	0	0	0	2	2	0	40	3	4	0	9	4	2	0	7	1	0	0	0	0	1	0	0	0	0	4	3	0	0	0		
1-400M1	273	0	0	0	0	2	2	0	49	4	5	0	9	5	2	0	8	1	0	0	0	0	1	0	0	0	0	4	4	0	0	0		
1-50M2	9	0	0	0	0	1	0	2	16	0	3	0	2	1	1	0	1	3	0	0	0	0	4	0	0	0	1	1	0	0	0	0		
1-100M2	19	0	0	0	0	1	0	2	27	0	5	0	5	4	3	0	6	3	0	0	0	0	10	0	0	0	2	3	0	0	0	0		
1-150M2	24	0	0	0	0	2	1	3	42	0	6	0	10	12	3	0	10	3	0	0	0	0	11	0	0	0	2	3	0	0	0	0		
1-200M2	33	0	0	0	0	2	2	3	59	0	12	0	13	14	3	0	18	3	0	0	0	0	14	2	0	0	2	4	0	0	0	0		
1-250M2	46	0	0	0	0	2	2	3	69	0	17	0	14	17	4	0	26	3	0	0	0	0	17	2	0	0	2	7	0	0	0	0		
1-300M2	59	0	0	0	0	2	2	3	75	0	21	0	17	18	6	0	31	3	0	0	0	0	25	2	0	0	2	11	0	0	0	0		
