Reading No,Time,Type,Duration,Units,Sequence,Flags,SAMPLE,OBJNAME,X,Y,area,element,Al2O3,Al2O3 Error,FeO,FeO Error,MgO,MgO Error,Cr2O3,Cr2O3 Error,Mg,Mg Error,Al,Al Error,Bal,Bal Error,Si,Si Error,P,P Error,S,S Error,Cl,Cl Error,K,K Error,Ca,Ca Error,Ti,Ti Error,V,V Error,Cr,Cr Error,Mn,Mn Error,Fe,Fe Error,Co,Co Error,Ni,Ni Error,Cu,Cu Error,Zn,Zn Error,As,As Error,Se,Se Error,Rb,Rb Error,Sr,Sr Error,Zr,Zr Error,Nb,Nb Error,Mo,Mo Error,Pd,Pd Error,Ag,Ag Error,Cd,Cd Error,Sn,Sn Error,Sb,Sb Error,Ba,Ba Error,W,W Error,Au,Au Error,Pb,Pb Error,Bi,Bi Error
88,6/1/2007 2:18,Mining,123.95,%,Final,,SA021,SA021,371377.8094,7217625.918,A,undetermined,0.332,0,2.994,0,0,0,0.011,0,< LOD,0.236,0.176,0.036,91.156,0.049,3.716,0.061,0.8,0.021,0.095,0.008,0.061,0.003,0.795,0.021,0.46,0.024,0.275,0.006,0.008,0.003,0.007,0.002,0.068,0.008,2.327,0.024,< LOD,0.009,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.018,0.003,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
89,6/1/2007 2:23,Mining,123.88,%,Final,,SA022,SA022,371379.8175,7217625.933,A,undetermined,0.388,0,3.257,0,0,0,0.011,0,< LOD,0.277,0.205,0.038,90.762,0.051,3.696,0.062,0.817,0.021,0.093,0.008,0.059,0.003,0.862,0.022,0.56,0.028,0.262,0.006,0.008,0.003,0.008,0.002,0.082,0.008,2.532,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
90,6/1/2007 2:28,Mining,122.35,%,Final,,SA023,SA023,371381.7961,7217625.957,A,undetermined,0.469,0,3.36,0,0,0,0.013,0,< LOD,0.287,0.248,0.039,90.592,0.051,3.745,0.062,0.793,0.021,0.095,0.008,0.057,0.003,0.914,0.023,0.515,0.027,0.278,0.007,0.009,0.003,0.009,0.002,0.074,0.008,2.612,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
91,6/1/2007 2:33,Mining,122.94,%,Final,,SA024,SA024,371383.7532,7217625.993,A,undetermined,0.288,0,3.245,0,0,0,0.012,0,< LOD,0.234,0.152,0.037,90.986,0.051,3.654,0.062,0.725,0.02,0.069,0.008,0.06,0.003,0.86,0.022,0.539,0.027,0.28,0.006,0.006,0.003,0.008,0.002,0.083,0.008,2.523,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.004,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.025,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
92,6/1/2007 2:38,Mining,123.83,%,Final,,SA025,SA025,371383.7483,7217627.904,A,undetermined,0.552,0,3.102,0,0,0,0.009,0,< LOD,0.217,0.292,0.04,89.992,0.056,4.506,0.068,0.806,0.021,0.087,0.008,0.063,0.003,0.953,0.023,0.445,0.025,0.274,0.006,0.009,0.003,0.006,0.002,0.097,0.009,2.411,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.024,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
93,6/1/2007 0:09,Mining,121.95,%,Final,,SA026,SA026,371381.9683,7217627.973,A,undetermined,0.295,0,3.139,0,0,0,0.011,0,< LOD,0.26,0.156,0.035,91.417,0.047,3.34,0.058,0.736,0.02,0.08,0.008,0.06,0.003,0.887,0.022,0.486,0.026,0.252,0.006,0.007,0.003,0.007,0.002,0.075,0.008,2.44,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.003,0.003,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.019,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
94,6/1/2007 0:14,Mining,121.47,%,Final,,SA027,SA027,371379.9711,7217627.905,A,undetermined,0.293,0,3.193,0,0,0,0.016,0,< LOD,0.212,0.155,0.036,91.207,0.049,3.448,0.06,0.738,0.02,0.074,0.008,0.054,0.003,0.964,0.023,0.433,0.025,0.295,0.007,0.009,0.003,0.011,0.002,0.071,0.008,2.482,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.003,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,< LOD,0.002,0.026,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.024,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
95,6/1/2007 0:19,Mining,123.12,%,Final,,SA028,SA028,371377.756,7217628.014,A,undetermined,0.254,0,3.386,0,0,0,0.014,0,< LOD,0.226,0.134,0.035,91.226,0.048,3.343,0.059,0.742,0.02,0.077,0.008,0.056,0.003,0.955,0.023,0.408,0.025,0.274,0.007,0.008,0.003,0.01,0.002,0.077,0.008,2.632,0.027,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.003,0.001,0.002,0.001,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.023,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
96,6/1/2007 0:25,Mining,122.11,%,Final,,SA029,SA029,371375.9642,7217628.045,A,undetermined,0.268,0,3.148,0,0.345,0,0.009,0,< LOD,0.241,0.142,0.035,90.975,0.049,3.676,0.06,0.74,0.02,0.076,0.008,0.059,0.003,0.858,0.022,0.414,0.024,0.263,0.006,0.007,0.003,0.006,0.002,0.071,0.008,2.447,0.025,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.029,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.021,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
97,6/1/2007 0:30,Mining,122.94,%,Final,,SA030,SA030,371373.9622,7217627.986,A,undetermined,0.289,0,3.158,0,0,0,0.012,0,< LOD,0.222,0.153,0.035,91.228,0.049,3.696,0.061,0.739,0.02,0.079,0.008,0.055,0.003,0.815,0.021,0.371,0.022,0.258,0.006,0.008,0.003,0.008,0.002,0.078,0.008,2.455,0.026,< LOD,0.01,< LOD,0.004,< LOD,0.002,0.002,0.001,< LOD,0.002,< LOD,0.002,0.002,0.001,< LOD,0.002,0.027,0.001,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,< LOD,0.002,0.02,0.004,< LOD,0.005,< LOD,0.002,< LOD,0.002,< LOD,0.002
